classification_id,subject_id,user_id,label
0,6,8,tenebrite
1,10,6,negative
2,3,7,tenebrite
3,10,5,negative
4,8,5,negative
5,5,10,negative
6,7,9,negative
7,6,10,tenebrite
8,2,7,tenebrite
9,8,4,negative
10,2,7,negative
11,4,7,tenebrite
12,10,1,tenebrite
13,8,8,tenebrite
14,8,9,negative
15,10,2,negative
16,3,9,negative
17,10,1,negative
18,1,2,negative
19,1,6,negative
20,9,4,negative
21,9,2,negative
22,6,6,negative
23,7,7,negative
24,6,3,tenebrite
25,9,3,tenebrite
26,10,2,tenebrite
27,7,1,tenebrite
28,7,6,negative
29,10,4,tenebrite
30,6,7,tenebrite
31,6,9,tenebrite
32,4,1,negative
33,2,4,negative
34,6,1,negative
35,5,10,tenebrite
36,6,7,negative
37,5,3,negative
38,9,8,negative
39,8,5,negative
40,8,8,negative
41,3,9,negative
42,9,5,negative
43,5,3,negative
44,3,5,negative
45,1,1,negative
46,9,9,negative
47,8,3,negative
48,3,7,negative
49,3,9,negative
